"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","Category","id"
"All Quiet on the Western Front",1930,147,1200000,8.2,6835,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",1,0,0,1,0,0,0,"Action",31
"All Through the Night",1942,107,750000,7,361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,1,1,0,0,0,"Action",32
"All the Queen's Men",2001,105,2.5e+07,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0,"Action",33
"Alone in the Dark",2005,96,2e+07,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",34
"America 3000",1986,84,2e+06,3.7,123,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,24.5,"",1,0,0,0,0,0,0,"Action",35
"American Ninja 2: The Confrontation",1987,90,350000,3.7,641,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",36
"American Outlaws",2001,94,3.5e+07,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,1,0,0,0,0,"Action",37
"Anaconda",1997,89,4.5e+07,4.1,10510,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",38
"Animatrix: Final Flight of the Osiris, The",2003,11,5e+06,7.6,1536,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",1,1,0,0,0,0,1,"Action",39
"Antikiller",2002,114,5e+06,5.4,231,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",1,0,0,0,0,0,0,"Action",40
"Apocalypse Now",1979,202,31500000,8.5,64785,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"R",1,0,0,1,0,0,0,"Action",41
"Armageddon",1998,153,1.4e+08,5.7,45330,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",42
"Armed Response",1986,86,1500000,4.2,70,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,14.5,"",1,0,0,0,0,0,0,"Action",43
"Army of Darkness",1993,96,1.1e+07,7.4,22118,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,1,0,0,0,0,"Action",44
"Around the World in 80 Days",2004,120,1.1e+08,5.7,3887,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",1,0,1,0,0,1,0,"Action",45
"Assassins",1995,132,5e+07,5.7,7354,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",46
"Assault on Precinct 13",1976,91,1e+05,7.3,4093,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,0,0,0,0,"Action",47
"Assault on Precinct 13",2005,109,2e+07,6.3,2960,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,"Action",48
"Atlantis: The Lost Empire",2001,95,9e+07,6.4,6323,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG",1,1,0,0,0,0,0,"Action",49
"Atlas",1961,79,70000,4,26,14.5,4.5,14.5,34.5,14.5,0,0,4.5,0,14.5,"",1,0,0,1,0,0,0,"Action",50
"Atomic Submarine, The",1959,72,135000,3.9,94,4.5,4.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",51
"Austin Powers in Goldmember",2002,94,6.3e+07,6.2,22870,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",52
"Austin Powers: International Man of Mystery",1997,94,1.7e+07,7,33755,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,1,0,0,0,0,"Action",53
"Austin Powers: The Spy Who Shagged Me",1999,95,3.3e+07,6.5,37019,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",54
"Avatars",2001,5,20000,3.3,7,14.5,14.5,0,0,0,14.5,0,24.5,0,24.5,"",1,0,0,0,0,0,1,"Action",55
"Avengers, The",1998,89,6e+07,3.4,11499,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",56
"Back to the Future",1985,111,1.9e+07,8.1,68647,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,1,0,0,0,0,"Action",57
"Bad Boys",1995,118,2.3e+07,6.4,15326,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",58
"Bad Boys II",2003,145,1.3e+08,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",1,0,1,0,0,0,0,"Action",59
"Bad Company",2002,116,7e+07,5.4,6175,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",60
"Bad Moon",1996,80,7e+06,4.4,519,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0,"Action",61
"Badge, The",2002,103,6e+06,6.3,740,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,"Action",62
"Bait",2000,119,3.5e+07,5.6,1884,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",63
"Ballistic: Ecks vs. Sever",2002,91,7e+07,3.4,4556,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",64
"Band of the Hand",1986,109,8700000,4.9,378,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",65
"Batman",1989,126,3.5e+07,7.4,35927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,0,0,0,0,"Action",66
"Batman & Robin",1997,125,1.1e+08,3.6,28457,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",67
"Batman Forever",1995,122,1e+08,5.4,24025,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,1,0,"Action",68
"Batman Returns",1992,126,8e+07,6.5,23010,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,1,0,"Action",69
"Batman: Dead End",2003,8,30000,7.3,805,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",1,0,0,0,0,0,1,"Action",70
"Batoru rowaiaru",2000,122,4500000,7.9,12138,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",1,0,0,1,0,0,0,"Action",71
"Batoru rowaiaru II: Rekuiemu",2003,155,9e+06,4.8,2117,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",72
"Battle for the Planet of the Apes",1973,96,1800000,4.9,2335,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",73
"Battle of Britain",1969,151,1.2e+07,6.7,1728,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",1,0,0,1,0,0,0,"Action",74
"Battlefield Earth: A Saga of the Year 3000",2000,119,7.3e+07,2.4,14970,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",75
"Beastmaster 2: Through the Portal of Time",1991,107,6e+06,3.1,564,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",76
"Beccerra",2002,30,3000,7.1,14,14.5,4.5,0,4.5,0,0,4.5,4.5,24.5,34.5,"",1,0,0,1,0,1,1,"Action",77
"Behind Enemy Lines",2001,106,4e+07,6.1,10856,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0,"Action",78
"Belly of the Beast",2003,91,1.8e+07,4.2,638,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0,"Action",79
"Ben-Hur",1959,214,1.5e+07,8.1,21031,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,0,1,0,1,0,"Action",80
"Beneath the Planet of the Apes",1970,95,3e+06,5.8,3568,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",81
"Beowulf",1999,99,2e+07,3.7,2058,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",82
"Betrayal",2003,90,750000,4.7,157,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",83
"Beverly Hills Cop",1984,105,1.5e+07,7.1,16360,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",1,0,1,0,0,0,0,"Action",84
"Beverly Hills Cop II",1987,100,2e+07,5.8,10446,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0,"Action",85
"Beverly Hills Cop III",1994,104,5e+07,4.7,6519,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0,"Action",86
"Big Doll House, The",1971,95,125000,4.6,194,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",87
"Big Hit, The",1998,91,1.3e+07,5.7,6206,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",88
"Big Jim McLain",1952,90,826000,4.3,266,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"",1,0,0,1,0,1,0,"Action",89
"Big Trouble in Little China",1986,99,2.5e+07,6.7,10803,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",1,0,1,0,0,0,0,"Action",90
"Billy Jack",1971,114,8e+05,5.5,994,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",91
"Black Gulch",2003,15,55000,6,20,4.5,0,0,0,0,4.5,14.5,24.5,0,64.5,"",1,0,0,0,0,0,1,"Action",92
"Black Hawk Down",2001,142,9e+07,7.6,32530,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0,"Action",93
"Black Rain",1989,125,1.4e+07,6.3,5636,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",94
"Blade",1998,110,4.5e+07,6.8,24372,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,0,0,0,0,"Action",95
"Blade II",2002,108,5.5e+07,6.6,17139,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",96
"Blade Runner",1982,117,2.8e+07,8.2,74749,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"",1,0,0,1,0,0,0,"Action",97
"Blade: Trinity",2004,124,6.5e+07,5.7,7439,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",1,0,0,0,0,0,0,"Action",98
"Blood Shot",2002,28,35000,4.5,22,14.5,0,0,4.5,0,4.5,0,14.5,4.5,45.5,"",1,0,1,0,0,0,1,"Action",99
"Blood of the Samurai",2001,75,2000,6.5,18,24.5,4.5,0,14.5,0,0,4.5,14.5,0,44.5,"",1,0,0,0,0,0,0,"Action",100
"Blood, Guts, Bullets and Octane",1998,87,7300,5.3,285,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",101
"Blowing Wild",1953,90,1e+06,5.6,67,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",102
"Blue Moon",1998,90,1000,6.8,23,4.5,4.5,4.5,14.5,4.5,14.5,4.5,24.5,4.5,24.5,"",1,0,0,1,0,1,0,"Action",103
"Blue Streak",1999,93,3.6e+07,5.8,7952,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",1,0,1,0,0,0,0,"Action",104
"Blues Brothers, The",1980,148,2.7e+07,7.7,28964,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,1,0,0,0,0,"Action",105
"Born Losers, The",1967,113,360000,5.4,223,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",106
"Bound by Honor",1993,190,3.5e+07,7.4,2499,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",1,0,0,1,0,0,0,"Action",107
"Bourne Identity, The",2002,119,7.5e+07,7.3,29871,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"PG-13",1,0,0,1,0,0,0,"Action",108
"Bourne Supremacy, The",2004,108,7.5e+07,7.3,19878,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0,"Action",109
"Boy s tenyu",2005,132,3500000,4.8,77,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"",1,0,0,0,0,0,0,"Action",110
"Brat 2",2000,122,1500000,6.7,528,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",1,0,0,0,0,0,0,"Action",111
"Braveheart",1995,177,5.3e+07,8.3,92437,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,"R",1,0,0,1,0,0,0,"Action",112
"Breakdown",1997,95,3.6e+07,6.7,7099,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",113
"Breed, The",2001,91,4e+06,4.7,582,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",114
"Bridge Too Far, A",1977,176,2.6e+07,7,5527,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,1,0,0,0,"Action",115
"Bridge of Dragons",1999,95,4e+06,3.7,373,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,1,0,"Action",116
"Broadcast 23",2005,7,2500,5.7,18,14.5,0,0,4.5,0,0,0,14.5,34.5,34.5,"",1,0,1,0,0,0,1,"Action",117
"Broken Arrow",1996,108,6.5e+07,5.7,14415,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",118
"Bug Buster",1998,93,8500000,2.9,268,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",119
"Bullet for Pretty Boy, A",1970,89,350000,3.5,31,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,0,0,"",1,0,0,1,0,0,0,"Action",120
"Bulletproof",1988,93,5e+06,3.8,155,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",121
"Bulletproof Monk",2003,104,5.2e+07,5.2,5405,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",122
"Bullitt",1968,113,5500000,7.3,6191,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,1,0,0,0,"Action",123
"Buono, il brutto, il cattivo, Il",1966,180,1200000,8.8,30224,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"",1,0,0,1,0,0,0,"Action",124
"Caged Heat",1974,83,180000,4.9,295,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",125
"Captain Blood",1935,99,1200000,7.7,1683,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",1,0,0,0,0,1,0,"Action",126
"Casino Royale",1967,131,1.2e+07,5.3,4173,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0,"Action",127
"Casshern",2004,141,5e+06,6.5,1237,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",1,0,0,1,0,0,0,"Action",128
"Catch Me If You Can",1989,106,8e+05,5.1,93,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,24.5,"",1,0,1,1,0,0,0,"Action",129
"Catch That Kid",2004,91,1.8e+07,4.5,598,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"PG",1,0,1,0,0,0,0,"Action",130
"Catwoman",2004,104,8.5e+07,3.4,8815,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0,"Action",131
"Cellular",2004,94,2.5e+07,6.4,6182,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",132
"Centipede!",2004,90,5e+05,3.6,35,24.5,24.5,14.5,14.5,4.5,4.5,4.5,0,4.5,4.5,"",1,0,0,0,0,0,0,"Action",133
"Chain Reaction",1996,106,5.5e+07,5.1,5936,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0,"Action",134
"Charge of the Light Brigade, The",1936,115,1200000,7.2,547,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,0,0,1,0,"Action",135
"Charlie's Angels",2000,94,9.2e+07,5.8,25705,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",136
"Charlie's Angels: Full Throttle",2003,107,1.2e+08,5,13990,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",137
"Chill Factor",1999,101,3.4e+07,5,2542,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",138
"Chronicles of Riddick, The",2004,135,1.1e+08,6.2,11438,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0,"Action",139
"Circle of Iron",1978,102,4e+06,5.2,376,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",1,0,0,0,0,0,0,"Action",140
"City on Fire",1979,104,5300000,3.4,127,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",141
"Clash of the Titans",1981,118,1.5e+07,6.3,3860,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,1,0,"Action",142
"Class of 1984",1982,98,4300000,5.5,662,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",143
"Class of 1999",1990,99,5200000,4.5,549,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",144
"Clear and Present Danger",1994,141,6.5e+07,6.8,13025,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",145
"Cliffhanger",1993,112,6.5e+07,6,12434,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",146
"Climb, The",2002,98,2500000,5.2,83,4.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,4.5,24.5,"PG",1,0,0,1,0,0,0,"Action",147
"Collateral Damage",2002,108,8.5e+07,5.2,8590,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",148
"Con Air",1997,115,7.5e+07,6.3,26642,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",149
"Conan the Barbarian",1982,129,2e+07,6.5,13624,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",1,0,0,0,0,0,0,"Action",150
"Congo",1995,109,5e+07,4.4,8058,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",151
"Conqueror, The",1956,111,6e+06,3.3,364,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",152
"Conquest of the Planet of the Apes",1972,88,1700000,5.5,2255,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",153
"Constantine",2005,121,1e+08,6.4,11633,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",154
